FrameIndex,SystemTimeInSeconds,Frame difference,Frame Number,PinnedMemorySystemTime,PM Frame difference
6142,95.106643,0.022341,522,189.372303,0.022345
6143,95.128991,0.022348,523,189.39464,0.022337
6144,95.151337,0.022346,524,189.416982,0.022342
6145,95.173668,0.022331,525,189.439319,0.022337
6146,95.184839,0.011171,526,189.461655,0.022336
6147,95.196012,0.011173,527,189.483999,0.022344
6148,95.207202,0.01119,528,189.506349,0.02235
6149,95.229526,0.022324,529,189.528679,0.02233
6150,95.240696,0.01117,530,189.551019,0.02234
6151,95.274208,0.033512,531,189.57336,0.022341
6152,95.285369,0.011161,532,189.595707,0.022347
6153,95.296549,0.01118,533,189.618064,0.022357
6154,95.307716,0.011167,534,189.640394,0.02233
6155,95.330057,0.022341,535,189.662724,0.02233
6156,95.341231,0.011174,536,189.685063,0.022339
6157,95.363567,0.022336,537,189.707411,0.022348
6158,95.374742,0.011175,538,189.729774,0.022363
6159,95.397103,0.022361,539,189.752095,0.022321
6160,95.408253,0.01115,540,189.763308,0.011213
6161,95.419425,0.011172,541,189.774478,0.01117
6162,95.441755,0.02233,542,189.785604,0.011126
6163,95.452923,0.011168,543,189.807945,0.022341
6164,95.464101,0.011178,544,189.8303,0.022355
6165,95.486444,0.022343,545,189.841455,0.011155
6166,95.497611,0.011167,546,189.852622,0.011167
6167,95.520007,0.022396,547,189.863787,0.011165
6168,95.531129,0.011122,548,189.886132,0.022345
6169,95.542289,0.01116,549,189.897306,0.011174
